곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
Officially Missing You Too, 긱스 & 소유 (SOYOU), , , , 17938899, 12465, 2012.11.01, 카카오엔터테인먼트, 카카오엔터테인먼트, 가요 / 랩/힙합, 03:44
FANTASTIC BABY, BIGBANG (빅뱅), G-DRAGON & TEDDY, G-DRAGON & T.O.P & TEDDY, TEDDY, 12642644, 11287, 2012.02.29, (주)YG엔터테인먼트, YG PLUS, 가요 / 랩/힙합, 03:51
이럴 줄 알았어, 비스트 (Beast), 라도, 라도 & 용준형, , 1877907, 2401, 2012.01.26, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:33
곰인형 (Feat. 해금), 린 (LYn), , , , 12721314, 10463, 2012.03.16, (주)뮤직앤뉴, 뮤직앤뉴, 가요 / 발라드, 03:27
철부지, 존 박, 이적, 이적, , 435775, 675, 2012.10.22, 뮤직팜, 카카오엔터테인먼트, 가요 / 발라드, 03:31
목소리 (Feat. 개리 of 리쌍), 백지영, , 이단옆차기, , 3381831, 2897, 2012.05.17, WS엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 04:13
내가 싫다, 케이윌 (K.Will), Dokkun (김도훈), 민연재, , 2016914, 1928, 2012.01.31, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 03:53
귀여워 (With 권정열 of 10cm), 별, , , , 8590645, 8101, 2012.10.24, QUAN ENTERTAINMENT, 카카오엔터테인먼트, 가요 / 발라드, 03:18
illa illa (일라 일라), JUNIEL, , Dokkun (김도훈), , 7210997, 8974, 2012.06.07, FNC엔터테인먼트, 카카오엔터테인먼트, 가요 / 전체, 03:36
눈물이 주르륵, 손담비, 용감한형제, 용감한형제, , 1137247, 1207, 2012.11.12, 스카이뮤직, NHN벅스, 가요 / 댄스, 03:32
? (물음표) (Feat. 최자 of 다이나믹듀오 & Zion.T), 프라이머리, 최자 & Zion.T, , 프라이머리 & Zion.T, 15162457, 10902, 2012.10.31, 아메바컬쳐, 지니뮤직 &  Stone Music Entertainment, 가요 / 랩/힙합, 03:14
거기서거기 (Without You), 다이나믹 듀오, , Simo & 개코, , 8941912, 7286, 2012.01.04, 아메바컬쳐, 지니뮤직 &  Stone Music Entertainment, 가요 / 랩/힙합, 03:59
응급실, 정준영, 신동우, 신동우, , 1695093, 1606, 2012.11.12, Stone Music Entertainment, 지니뮤직, 가요 / 발라드, 04:03
느린노래, 백아연, , 슈퍼창따이, , 1318063, 1859, 2012.09.10, (주)JYP엔터테인먼트 &  AQ 엔터테인먼트, Dreamus, 가요 / 발라드, 03:26
내가 노래를 못해도, SE7EN, , , , 1530148, 2050, 2012.02.01, (주)YG엔터테인먼트, YG PLUS, 가요 / R&B/소울, 03:55
나를 사랑했던 사람아, 허각, , , , 20508360, 16151, 2012.04.03, 에이큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 03:59
SEXY LOVE, 티아라 (T-ara), , 신사동호랭이 & 최규성, , 6853789, 5233, 2012.09.04, Beyond Music, Dreamus, 가요 / 댄스, 03:46
Loving U (러빙유), 씨스타 (Sistar), 이단옆차기, 이단옆차기, 이단옆차기, 13819475, 9094, 2012.06.28, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:39
Electric Shock, f(x), , , , 4196716, 3833, 2012.06.10, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:15
Pandora, 카라 (KARA), 김승수 & YUE (INCASTER), 송수윤 & 한재호, 한재호 & 김승수 & 홍승현 & YUE (INCASTER), 2581384, 2138, 2012.08.22, DSP 미디어, 카카오엔터테인먼트, 가요 / 댄스, 03:11
우리 사랑 이대로, 서인국 & 정은지, , 주영훈, , 10609419, 10180, 2012.09.04, 젤리피쉬 엔터테인먼트 &  에이큐브 엔터테인먼트, 지니뮤직, OST / 드라마, 04:18
스쳐간다, 로이킴, 로이킴, 로이킴, , 1657518, 1855, 2012.11.27, Stone Music Entertainment, 지니뮤직, 가요 / 락, 04:08
Fine Thank You And You?, 10CM, 10CM, 10CM, 10CM & 김선일 & 김장원 & 이윤혁, 5348004, 6222, 2012.10.10, 매직스트로베리사운드, 포크라노스, 가요 / 인디, 03:39
립스틱 (LIPSTICK), 오렌지캬라멜 (ORANGE CARAMEL), 용배 & 임수호, 임수호 & 용배, , 5002369, 3733, 2012.09.12, 플레디스 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:21
Somebody That I Used To Know (Feat. Kimbra), Gotye, , , , 882490, 2258, 2011.12.14, , Universal Music, POP / 락, 04:05
Call Me Maybe, Carly Rae Jepsen, , , , 705739, 1203, 2012.05.16, , Universal Music, POP / 팝, 03:13
We Are Young (Feat. Janelle Monae), Fun., , , , 483501, 997, 2011.10.10, Atlantic Recording Corp., 워너뮤직, POP / 락, 04:11
Payphone (Feat. Wiz Khalifa), Maroon 5, , , , 714791, 1714, 2015.09.25, Universal Music Ltd., Universal Music, POP / 락, 03:52
Glad You Came, The Wanted, , , , 61668, 176, 2011.01.01, Global Talent Records Limited &  Under Exclusive Licence To Universal Island Records &  A Division Of Universal Music Operations Limited, Universal Music, POP / 팝, 03:18
What Doesn't Kill You (Stronger), Kelly Clarkson, , , , 95277, 203, 2011.10.24, , Sony Music, POP / 팝, 03:42
We Found Love (Feat. Calvin Harris), Rihanna, , , , 260021, 458, 2011.11.21, , Universal Music, POP / 팝, 03:35
Starships, Nicki Minaj, , , , 188696, 292, 2012.04.02, , Universal Music, POP / 랩/힙합, 03:30
Wild Ones (Feat. Sia), Flo Rida, , , , 439512, 745, 2011.12.29, Atlantic Recording Corp., 워너뮤직, POP / 랩/힙합, 03:54
Set Fire To The Rain, Adele, , , , 3227160, 3836, 2011.01.21, XL Recordings, Beggars Group Digital Limited, POP / R&B/소울, 04:07
Sexy And I Know It, LMFAO, , , , 174279, 351, 2011.06.20, Foo & Blu &  LLC, Universal Music, POP / 팝, 03:20
Wide Awake, Katy Perry, , , , 270778, 492, 2012.04.05, EMI, Universal Music, POP / 팝, 03:41
Good Feeling, Flo Rida, , , , 343461, 501, 2011.08.29, Poe Boy &  Atlantic, 워너뮤직, POP / 일렉트로니카, 04:08
